Subject,Folder,RawFolderPath,TreatNum,SessionInclude,Weight,Physiological state,ExtractedFolderPath
PB23,PB23-220608-131619,Desktop\PaulaB\Tanks\,1,Y,459,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB24,PB24-220608-122638,Desktop\PaulaB\Tanks\,1,Y,240,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB33,PB33-220620-115414,Desktop\PaulaB\Tanks\,1,Y,274,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB39,PB39-220629-105034,Desktop\PaulaB\Tanks\,1,Y,204,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB391,PB391-220829-111452,Desktop\PaulaB\Tanks\,1,Y,272,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB44,PB44-220829-121005,Desktop\PaulaB\Tanks\,1,Y,477,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB61,PB61-221024-110730,Desktop\PaulaB\Tanks\,1,Y,481,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB62,PB62-221024-120029,Desktop\PaulaB\Tanks\,1,Y,421,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB64,PB64-221024-143444,Desktop\PaulaB\Tanks\,1,Y,472,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB70,PB70-221024-134346,Desktop\PaulaB\Tanks\,1,Y,461,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB23,PB23-220601-142444,Desktop\PaulaB\Tanks\,1,Y,240,Sodium Replete,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB24,PB24-220601-133332,Desktop\PaulaB\Tanks\,1,Y,273,Sodium Replete,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB33,PB33-220614-133339,Desktop\PaulaB\Tanks\,1,Y,275,Sodium Replete,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB39,PB39-220627-104923,Desktop\PaulaB\Tanks\,1,Y,222,Sodium Replete,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB391,PB391-220826-104731,Desktop\PaulaB\Tanks\,1,Y,295,Sodium Replete,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB44,PB44-220826-113745,Desktop\PaulaB\Tanks\,1,Y,481,Sodium Replete,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB61,PB61-221022-094209,Desktop\PaulaB\Tanks\,1,Y,506,Sodium Replete,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB62,PB62-221022-103215,Desktop\PaulaB\Tanks\,1,Y,440,Sodium Replete,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB64,PB64-221022-112221,Desktop\PaulaB\Tanks\,1,Y,478,Sodium Replete,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB70,PB70-221022-121226,Desktop\PaulaB\Tanks\,1,Y,479,Sodium Replete,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB39,PB39-220705-114000,Desktop\PaulaB\Tanks\,1,Y,220,Sodium Replete Experienced,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB391,PB391-220902-105101,Desktop\PaulaB\Tanks\,1,Y,281,Sodium Replete Experienced,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB44,PB44-220902-114732,Desktop\PaulaB\Tanks\,1,Y,489,Sodium Replete Experienced,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB61,PB61-221027-091856,Desktop\PaulaB\Tanks\,1,Y,512,Sodium Replete Experienced,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB62,PB62-221027-100635,Desktop\PaulaB\Tanks\,1,Y,444,Sodium Replete Experienced,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB64,PB64-221027-105535,Desktop\PaulaB\Tanks\,1,Y,495,Sodium Replete Experienced,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB70,PB70-221027-114604,Desktop\PaulaB\Tanks\,1,Y,485,Sodium Replete Experienced,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB23,PB23-220603-132442,Desktop\PaulaB\Tanks\,1,Y,461,Thirsty,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB24,PB24-220603-123453,Desktop\PaulaB\Tanks\,1,Y,243,Thirsty,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
PB33,PB33-220616-112230,Desktop\PaulaB\Tanks\,1,Y,276,Thirsty,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\
